2025-05-26 12:08:00.654 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 12:08:01.835 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 12:08:20.625 [http-nio-8080-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 12:10:16.134 [http-nio-8080-exec-7] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 6 to cache 
2025-05-26 12:10:51.382 [http-nio-8080-exec-5] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 7 to cache 
2025-05-26 12:11:16.406 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 8 to cache 
2025-05-26 12:11:47.267 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 12:12:47.110 [http-nio-8080-exec-8] INFO  c.c.carsharing.cache.LruCache - Cache miss: Item with key 1 not found in cache
2025-05-26 12:12:47.112 [http-nio-8080-exec-8] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 1 to cache 
2025-05-26 12:13:31.335 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 15 to cache 
2025-05-26 12:13:39.881 [http-nio-8080-exec-4] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 15 from cache (frequency: 2)
2025-05-26 12:13:39.888 [http-nio-8080-exec-4] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 15 in cache (frequency: 3)
2025-05-26 12:13:58.891 [http-nio-8080-exec-5] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 15 from cache (frequency: 4)
2025-05-26 12:13:58.893 [http-nio-8080-exec-5] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 15 in cache (frequency: 5)
2025-05-26 13:31:21.079 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h13m21s847ms522µs900ns).
2025-05-26 13:47:41.614 [http-nio-8080-exec-6] INFO  c.c.carsharing.cache.LruCache - Cache miss: Item with key 12 not found in cache
2025-05-26 13:47:41.617 [http-nio-8080-exec-6] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 12 to cache 
2025-05-26 13:47:54.362 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 12 from cache (frequency: 2)
2025-05-26 13:47:54.364 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 12 in cache (frequency: 3)
2025-05-26 13:48:04.808 [http-nio-8080-exec-7] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 12 from cache (frequency: 4)
2025-05-26 13:48:04.810 [http-nio-8080-exec-7] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 12 in cache (frequency: 5)
2025-05-26 13:49:08.387 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:49:09.791 [http-nio-8080-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:49:10.582 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] ]
2025-05-26 13:49:10.752 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:49:10.970 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:51:59.129 [http-nio-8080-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:55:51.271 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] ]
